2.96,172,85,2,avocado
3.91,166,78,3,avocado
4.42,156,81,2,avocado
4.47,163,81,4,avocado
4.48,161,72,9,avocado
4.59,142,100,2,avocado
4.64,156,85,2,avocado
4.65,142,74,2,avocado
4.68,159,90,16,avocado
4.69,161,76,6,avocado
4.73,148,88,2,avocado
4.74,166,69,2,avocado
4.75,166,98,13,avocado
4.77,166,86,6,avocado
4.78,170,82,2,avocado
4.82,162,87,12,avocado
4.85,166,78,5,avocado
4.91,151,79,2,avocado
4.97,168,79,22,avocado
5.02,179,73,2,avocado
5.02,162,79,2,avocado
5.08,156,94,2,avocado
5.1,169,86,2,avocado
5.11,146,84,2,avocado
5.15,154,87,6,avocado
5.16,168,82,2,avocado
5.22,162,79,2,avocado
5.22,161,75,10,avocado
5.24,153,90,2,avocado
5.24,157,85,15,avocado
5.25,155,94,6,avocado
5.26,155,93,2,avocado
5.3,171,82,2,avocado
5.3,159,84,13,avocado
5.3,162,93,2,avocado
5.32,145,82,2,avocado
5.34,173,75,3,avocado
5.35,158,97,2,avocado
5.36,164,86,4,avocado
5.37,178,92,7,avocado
5.37,177,76,2,avocado
5.37,171,75,23,avocado
5.38,163,93,8,avocado
5.4,148,81,2,avocado
5.43,157,98,2,avocado
5.45,145,75,18,avocado
5.47,162,90,2,avocado
5.47,170,82,11,avocado
5.48,165,67,8,avocado
5.48,146,72,2,avocado
5.48,167,88,4,clover
5.48,128,87,4,clover
5.49,177,80,2,clover
5.51,150,98,5,clover
5.51,165,88,7,clover
5.51,157,82,3,clover
5.52,140,65,5,clover
5.53,169,76,3,clover
5.53,150,87,2,clover
5.57,145,81,9,clover
5.57,159,83,2,clover
5.58,160,73,3,clover
5.59,168,75,19,clover
5.6,167,74,2,clover
5.6,171,72,2,clover
5.61,165,84,2,clover
5.61,158,69,8,clover
5.61,167,104,2,clover
5.63,161,74,2,clover
5.65,138,78,14,clover
5.65,155,70,2,clover
5.65,158,107,3,clover
5.65,154,98,10,clover
5.66,163,86,3,clover
5.66,164,94,2,clover
5.67,165,78,2,clover
5.67,150,85,6,clover
5.68,137,76,9,clover
5.69,164,81,8,clover
5.71,168,78,2,clover
5.71,151,82,2,clover
5.71,154,62,20,clover
5.71,156,91,2,clover
5.72,164,95,2,clover
5.72,141,85,2,clover
5.73,169,66,2,clover
5.73,163,89,18,clover
5.73,155,87,2,clover
5.73,151,86,2,clover
5.73,156,68,4,clover
5.74,149,68,2,clover
5.76,168,94,30,clover
5.76,146,78,8,clover
5.77,150,95,2,clover
5.77,142,101,9,clover
5.77,163,76,2,clover
5.79,150,90,2,clover
5.79,144,73,2,clover
5.8,139,105,2,clover
5.8,165,68,2,clover
7.63,150,74,24,sunflower
7.69,150,43,15,sunflower
7.72,150,54,21,sunflower
7.77,150,75,15,sunflower
7.84,149,77,20,sunflower
7.94,144,81,26,sunflower
8.05,134,85,26,sunflower
8.11,148,59,22,sunflower
8.18,142,81,7,sunflower
8.19,143,65,30,sunflower
8.19,149,63,16,sunflower
8.21,157,83,21,sunflower
8.24,142,84,10,sunflower
8.24,149,83,19,sunflower
8.29,168,86,42,sunflower
8.3,158,71,16,sunflower
8.36,133,74,21,sunflower
8.36,154,80,12,sunflower
8.37,137,71,18,sunflower
8.37,156,67,22,sunflower
8.45,141,54,2,sunflower
8.47,148,88,23,sunflower
8.5,157,80,33,sunflower
8.5,147,68,12,sunflower
8.51,148,91,28,sunflower
8.51,162,75,5,sunflower
8.53,171,72,6,sunflower
8.54,153,87,11,sunflower
8.59,146,82,40,sunflower
8.59,142,58,11,sunflower
8.61,137,70,18,sunflower
8.64,145,67,31,sunflower
8.65,158,70,36,sunflower
8.66,153,74,17,sunflower
8.66,143,62,19,sunflower
8.67,162,62,24,sunflower
8.67,152,63,6,sunflower
8.68,153,78,32,sunflower
8.68,168,70,13,sunflower
8.69,154,83,36,sunflower
8.69,147,58,10,sunflower
8.71,131,80,24,sunflower
8.73,151,81,3,sunflower
8.74,148,74,22,sunflower
8.74,152,85,12,sunflower
8.75,154,53,41,sunflower
8.76,146,78,13,sunflower
8.76,143,69,13,sunflower
8.78,153,71,10,sunflower
8.79,150,72,24,sunflower
